Month,Date,Place,Cost,Reg Order,
January,15/01/24,St. Ali,6.50,5.00,
January,15/01/24,The Village Bakery,5.48,5.48,
January,16/01/24,St. Ali,5.00,5.00,
January,16/01/24,The Village Bakery,5.40,5.48,
January,18/01/24,Scholar & Co,10.12,4.06,
January,18/01/24,St. Ali,10.00,5.00,
January,19/01/24,The Village Bakery,11.57,5.48,
January,20/01/24,The Village Bakery,14.41,5.48,
January,21/01/24,The Village Bakery,13.90,5.48,
January,22/01/24,Scholar & Co,10.12,4.06,
January,22/01/24,St. Ali,5.00,5.00,
January,23/01/24,St. Ali,6.50,5.00,
January,23/01/24,The Village Bakery,21.13,5.48,
January,24/01/24,House of Cards,8.13,4.8,
January,25/01/24,St. Ali,5.00,5.00,
January,25/01/24,St. Ali,5.00,5.00,
January,26/01/24,The Village Bakery,11.58,5.48,
January,27/01/24,The Village Bakery,5.48,5.48,
January,29/01/24,Scholar & Co,10.12,4.06,
January,29/01/24,St. Ali,5.00,5.00,
January,29/01/24,The Village Bakery,4.97,5.48,
January,30/01/24,Scholar & Co,10.12,4.06,
January,30/01/24,St. Ali,6.00,5.00,
January,31/01/24,The Village Bakery,14.12,5.48,
February,01/02/24,Scholar & Co,10.12,4.06,
February,02/02/24,The Village Bakery,13.90,5.48,
February,03/02/24,Pause Menu,5.00,,
February,04/02/24,The Village Bakery,6.39,5.48,
February,05/02/24,St. Ali,6.50,5.00,
February,06/02/24,Scholar & Co,12.14,4.06,
February,07/02/24,House of Cards,9.65,4.8,
February,07/02/24,Wolfhound,12.65,,
February,09/02/24,The Village Bakery,23.55,5.48,
February,10/02/24,The Village Bakery,13.59,5.48,
February,10/02/24,VCCC Grattan Group Pty,13.30,,
February,11/02/24,The Village Bakery,21.71,5.48,
February,12/02/24,Standing Room,11.70,4.7,
February,13/02/24,Scholar & Co,10.12,4.06,
February,14/02/24,St. Ali,5.00,5.00,
February,16/02/24,The Village Bakery,14.41,5.48,
February,17/02/24,The Village Bakery,14.61,5.48,
February,18/02/24,The Village Bakery,23.65,5.48,
February,19/02/24,Scholar & Co,12.14,4.06,
February,20/02/24,The Village Bakery,5.48,5.48,
February,21/02/24,The Village Bakery,5.48,5.48,
February,23/02/24,The Village Bakery,23.15,5.48,
February,24/02/24,The Village Bakery,5.48,5.48,
February,25/02/24,The Village Bakery,14.41,5.48,
February,26/02/24,The Village Bakery,5.48,5.48,
February,27/02/24,House of Cards,13.80,4.8,
February,28/02/24,St. Ali,5.00,5.00,
February,29/02/24,Scholar & Co,6.09,4.06,
March,01/03/24,The Village Bakery,14.61,5.48,
March,02/03/24,The Village Bakery,11.87,5.48,
March,03/03/24,The Village Bakery,5.48,5.48,
March,06/03/24,St. Ali,5.00,5.00,
March,07/03/24,Scholar & Co,10.15,4.06,
March,08/03/24,The Village Bakery,5.48,5.48,
March,09/03/24,The Village Bakery,16.54,5.48,
March,10/03/24,The Village Bakery,14.61,5.48,
March,10/03/24,The Village Bakery,14.61,5.48,
March,25/03/24,The Village Bakery,23.04,5.48,
March,26/03/24,The Village Bakery,10.15,5.48,
March,27/03/24,House of Cards,5.50,4.8,
March,27/03/24,The Village Bakery,5.48,5.48,
March,28/03/24,St. Ali,7.50,5.00,
March,28/03/24,The Village Bakery,5.48,5.48,
March,29/03/24,The Village Bakery,6.14,5.48,
March,31/03/24,The Village Bakery,6.14,5.48,
